"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju","timestamp","apylinkes","lt_proc_rinkeju"
1,"Tautos ir teisingumo sąjunga (centristai, tautininkai)",34684,0,0,0,0,0,0,0,"2024-10-13 08:00:00",0,0
2,"Nacionalinis susivienijimas",34672,0,0,0,0,0,0,0,"2024-10-13 08:00:00",0,0
3,"Lietuvos socialdemokratų partija",34666,0,0,0,0,0,0,0,"2024-10-13 08:00:00",0,0
4,"Lietuvos žaliųjų partija",34670,0,0,0,0,0,0,0,"2024-10-13 08:00:00",0,0
5,"Lietuvos liaudies partija",34662,0,0,0,0,0,0,0,"2024-10-13 08:00:00",0,0
6,"Lietuvos regionų partija",34664,0,0,0,0,0,0,0,"2024-10-13 08:00:00",0,0
8,"Lietuvos valstiečių ir žaliųjų sąjunga",34668,0,0,0,0,0,0,0,"2024-10-13 08:00:00",0,0
9,"Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)",35124,0,0,0,0,0,0,0,"2024-10-13 08:00:00",0,0
10,"Partija „Laisvė ir teisingumas“",34674,0,0,0,0,0,0,0,"2024-10-13 08:00:00",0,0
11,"Demokratų sąjunga „Vardan Lietuvos“",34644,0,0,0,0,0,0,0,"2024-10-13 08:00:00",0,0
12,"Politinė partija „Nemuno Aušra“",34898,0,0,0,0,0,0,0,"2024-10-13 08:00:00",0,0
13,"Tėvynės sąjunga-Lietuvos krikščionys demokratai",34686,0,0,0,0,0,0,0,"2024-10-13 08:00:00",0,0
14,"Liberalų sąjūdis",34656,0,0,0,0,0,0,0,"2024-10-13 08:00:00",0,0
16,"Laisvės partija",34654,0,0,0,0,0,0,0,"2024-10-13 08:00:00",0,0
17,"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga",34660,0,0,0,0,0,0,0,"2024-10-13 08:00:00",0,0
3,"Lietuvos socialdemokratų partija",34666,34666,2630,8282,25,28.03,27.43,13.04,"2024-10-13 21:00:06",270,3.07
12,"Politinė partija „Nemuno Aušra“",34898,34898,1011,5741,18,19.43,19.02,9.04,"2024-10-13 21:00:06",270,3.07
13,"Tėvynės sąjunga-Lietuvos krikščionys demokratai",34686,34686,1143,3131,10,10.6,10.37,4.93,"2024-10-13 21:00:06",270,3.07
8,"Lietuvos valstiečių ir žaliųjų sąjunga",34668,34668,648,2925,9,9.9,9.69,4.61,"2024-10-13 21:00:06",270,3.07
11,"Demokratų sąjunga „Vardan Lietuvos“",34644,34644,699,2728,8,9.23,9.04,4.3,"2024-10-13 21:00:06",270,3.07
14,"Liberalų sąjūdis",34656,34656,400,1490,0,5.04,4.94,2.35,"2024-10-13 21:00:06",270,3.07
16,"Laisvės partija",34654,34654,318,823,0,2.79,2.73,1.3,"2024-10-13 21:00:06",270,3.07
6,"Lietuvos regionų partija",34664,34664,176,786,0,2.66,2.6,1.24,"2024-10-13 21:00:06",270,3.07
9,"Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)",35124,35124,201,768,0,2.6,2.54,1.21,"2024-10-13 21:00:06",270,3.07
5,"Lietuvos liaudies partija",34662,34662,136,658,0,2.23,2.18,1.04,"2024-10-13 21:00:06",270,3.07
1,"Tautos ir teisingumo sąjunga (centristai, tautininkai)",34684,34684,154,568,0,1.92,1.88,0.89,"2024-10-13 21:00:06",270,3.07
